,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
322,HLT 204 WOMEN’S HEALTH,"Explores current issues related to women's health and wellness with an emphasis upon prevention of disease and optimum well being. Takes a multi-ethnic approach to exploring the most up-to-date findings, diagnostic tools, and treatments for breast cancer, reproductive tract illness, heart, and other common diseases faced by women from puberty through menopause.",GSWS 390,"Topics in Gender, Sexuality, & Womenâs Studies","An in-depth study of a topic in some aspect of feminist scholarship. Check with Gender, Sexuality, & Womenâs Studies for topic descriptions."
323,HLT 206 EXERCISE SCIENCE,"Introduces the study of various forms of physical activity and how they promote human health. Examines the study of physical activity from the perspectives of professional practice, scholarly study and experience. Provides a broad overview of the history, scientific principles, methodologies, and research among the major subdisciplines to prepare students for further study in kinesiology and health sciences. Explores current issues, future directions, certifications, professional associations, and career opportunities.",KINE 204,,
324,HLT 215 PERSONAL STRESS & STRESS MANAGEMENT,"Provides a basic understanding of stress and explores its physical, psychological and social effects. Includes the relationships among stress and change, self-evaluation, sources of stress, and ways to develop current coping skills for handling stress.  The assignments in the course require college-level reading fluency and coherent communication through written reports.",,,
325,HIM 111 MEDICAL TERMINOLOGY I,"Introduces the student to the language used in the health record.  Includes a system-by-system review of anatomical disease, and operative terms, abbreviations, radiography procedures, laboratory tests, and pharmacology terms.  Part I of II.",KINE 460,Topics in Health Sciences,"Topics not covered in regular offerings. Subjects, prerequisites and instructor will vary from year to year. Course may be repeated for credit if the topic varies."
326,HIM 112 MEDICAL TERMINOLOGY II,"Continues with focus on the language used in the health record. Includes a system-by-system review of anatomic disease, and operative terms, abbreviations, radiography procedures, laboratory tests, and pharmacology terms.  Part II of II.",KINE 460,Topics in Health Sciences,"Topics not covered in regular offerings. Subjects, prerequisites and instructor will vary from year to year. Course may be repeated for credit if the topic varies."
327,HIM 113 MEDICAL TERMINOLOGY AND DISEASE PROCESSES I,"Includes the study of prefixes, suffixes, stem words, and technical terms; puts emphasis on the causes and treatment of selected disease processes.  Part I of II.",KINE 460,Topics in Health Sciences,"Topics not covered in regular offerings. Subjects, prerequisites and instructor will vary from year to year. Course may be repeated for credit if the topic varies."
328,HIM 114 MEDICAL TERMINOLOGY AND DISEASE PROCESSES II,"Continues the study of prefixes, suffixes, stem words, and technical term; puts emphasis on the causes and treatment of selected disease processes.  Part II of II.",KINE 460,Topics in Health Sciences,"Topics not covered in regular offerings. Subjects, prerequisites and instructor will vary from year to year. Course may be repeated for credit if the topic varies."
329,HIS 101 WESTERN CIVILIZATIONS PRE-1600 CE,Examines the development of western civilization from ancient times to 1600 CE. This is a Passport and UCGS transfer course.,HIST 111,History of Europe to 1715,"CSI An introduction to Western civilization with emphasis on European political, economic, social and cultural developments and their influence in shaping our contemporary world. Students will be encouraged to examine fundamental trends and the uses of the historical method."
330,HIS 102 WESTERN CIVILIZATION POST-1600 CE,Examines the development of western civilization from 1600 CE to the present. This is a Passport and UCGS transfer course.,HIST 112,History of Europe since 1715,"CSI Additional ALV An introduction to European history in a global context, with emphasis on cultural, social, political, and economic developments and their influence in shaping our contemporary world. Students will read primary sources and examine the uses of the historical method."
331,HIS 111 WORLD CIVILIZATIONS PRE-1500 CE,"Surveys the history of Asia, Africa, the Americas, and Europe from antiquity to approximately 1500. This is a Passport and UCGS transfer course.",HIST 191,Global History to 1500,"CSI An introduction to the history of the world, with emphasis on civilizations, cultural diversity, global conflict and global convergence."
332,HIS 112 WORLD CIVILIZATIONS POST-1500 CE,"Surveys the history of Asia, Africa, Europe, and the Americas from approximately 1500 CE through the present. This is a Passport and UCGS transfer course.",HIST 192,Global History since 1500,"CSI ALV An introduction to the history of the world, with emphasis on civilizations, cultural diversity, global conflict and global convergence."
333,HIS 121 UNITED STATES HISTORY TO 1877,"Introduces the history of the United States from its origins to 1877.  Includes the European exploration, development of the American colonies and their institutions, the Revolution, major political, social and economic developments, geographical expansion, the Civil War, and Reconstruction. This is a Passport and UCGS transfer course.",HIST 121,American History to 1877,"CSI An introduction to the history of the United States from its origins to 1877. Topics include the development of the American colonies and their institutions, the Revolution, the creation of the federal union, the people of America, the Civil War and Reconstruction."
334,HIS 122 UNITED STATES HISTORY SINCE 1865,"Introduces the history of the United States from 1865 to present.  Includes major political, social and economic developments since 1865, overseas expansion, the two world wars, the Cold War and the post-Cold War era. This is a Passport and UCGS transfer course.",HIST 122,American History since 1877,"CSI An introduction to the history of the United States from 1877 to the present. Topics include major political, social and economic developments since 1877, overseas expansion, the two world wars, the Cold War and the post-Cold War era."
335,HIS 125 HISTORY OF AMERICAN INDIAN,Examines the history and culture of the native peoples of the Americas.,HIST 238,Native American History since 1763,"CSI Additional ALV This course surveys the significant events, issues, and themes in the âNew Indian Historyâ from the late colonial period to the present day. Through the assigned readings, lectures, discussions, films, and music, students will gain a better understanding of the enormous diversity of Native cultures and histories, as well as the shared experiences that have shaped them over time."
